eval_f1_micro,eval_recall_micro,eval_precision_micro,eval_f1_macro,eval_recall_macro,eval_precision_macro,eval_accuracy,language,size,type
66.21,66.21,66.21,66.33,66.21,66.51,66.21,ar,,ft
66.21,66.21,66.21,66.33,66.21,66.51,66.21,ar,49871.0,trimmed
60.92,60.92,60.92,60.9,60.92,61.32,60.92,ar,49871.0,ft_trimmed
64.94,64.94,64.94,65.03,64.94,65.15,64.94,ar,15000.0,ft_trimmed
65.29,65.29,65.29,65.43,65.29,65.68,65.29,ar,15000.0,trimmed
63.22,63.22,63.22,63.43,63.22,64.21,63.22,ar,45000.0,ft_trimmed
66.21,66.21,66.21,66.33,66.21,66.51,66.21,ar,45000.0,trimmed
63.45,63.45,63.45,63.49,63.45,63.6,63.45,ar,30000.0,ft_trimmed
65.75,65.75,65.75,65.88,65.75,66.09,65.75,ar,30000.0,trimmed
71.84,71.84,71.84,71.76,71.84,72.16,71.84,de,,ft
71.95,71.95,71.95,71.87,71.95,72.27,71.95,de,91696.0,trimmed
71.38,71.38,71.38,71.36,71.38,72.01,71.38,de,91696.0,ft_trimmed
66.9,66.9,66.9,66.92,66.9,67.28,66.9,de,15000.0,ft_trimmed
62.07,62.07,62.07,61.79,62.07,65.14,62.07,de,15000.0,trimmed
67.01,67.01,67.01,67.01,67.01,67.23,67.01,de,45000.0,ft_trimmed
64.25,64.25,64.25,63.85,64.25,67.21,64.25,de,45000.0,trimmed
68.28,68.28,68.28,68.3,68.28,68.5,68.28,de,30000.0,ft_trimmed
64.14,64.14,64.14,63.74,64.14,67.11,64.14,de,30000.0,trimmed
67.01,67.01,67.01,67.05,67.01,67.27,67.01,de,60000.0,ft_trimmed
64.37,64.37,64.37,63.95,64.37,67.31,64.37,de,60000.0,trimmed
72.76,72.76,72.76,72.69,72.76,72.76,72.76,de,75000.0,ft_trimmed
71.95,71.95,71.95,71.87,71.95,72.27,71.95,de,75000.0,trimmed
72.07,72.07,72.07,71.97,72.07,72.17,72.07,de,90000.0,ft_trimmed
71.95,71.95,71.95,71.87,71.95,72.27,71.95,de,90000.0,trimmed
69.31,69.31,69.31,68.98,69.31,68.97,69.31,es,,ft
69.31,69.31,69.31,68.98,69.31,68.97,69.31,es,87080.0,trimmed
64.14,64.14,64.14,63.94,64.14,63.85,64.14,es,87080.0,ft_trimmed
66.21,66.21,66.21,65.6,66.21,65.64,66.21,es,15000.0,ft_trimmed
67.13,67.13,67.13,66.77,67.13,66.75,67.13,es,15000.0,trimmed
67.93,67.93,67.93,67.53,67.93,67.63,67.93,es,45000.0,ft_trimmed
67.7,67.7,67.7,67.29,67.7,67.35,67.7,es,45000.0,trimmed
65.98,65.98,65.98,65.44,65.98,65.42,65.98,es,30000.0,ft_trimmed
67.59,67.59,67.59,67.14,67.59,67.22,67.59,es,30000.0,trimmed
65.17,65.17,65.17,64.66,65.17,64.66,65.17,es,60000.0,ft_trimmed
67.7,67.7,67.7,67.29,67.7,67.35,67.7,es,60000.0,trimmed
66.32,66.32,66.32,65.81,66.32,65.83,66.32,es,75000.0,ft_trimmed
69.31,69.31,69.31,68.98,69.31,68.97,69.31,es,75000.0,trimmed
71.72,71.72,71.72,71.78,71.72,72.62,71.72,fr,,ft
71.72,71.72,71.72,71.78,71.72,72.62,71.72,fr,85704.0,trimmed
72.53,72.53,72.53,72.38,72.53,73.53,72.53,fr,85704.0,ft_trimmed
71.38,71.38,71.38,71.41,71.38,72.1,71.38,fr,15000.0,ft_trimmed
70.11,70.11,70.11,70.15,70.11,70.25,70.11,fr,15000.0,trimmed
70.11,70.11,70.11,69.93,70.11,70.47,70.11,fr,45000.0,ft_trimmed
70.0,70.0,70.0,70.04,70.0,70.14,70.0,fr,45000.0,trimmed
72.3,72.3,72.3,72.28,72.3,72.38,72.3,fr,30000.0,ft_trimmed
69.89,69.89,69.89,69.93,69.89,70.03,69.89,fr,30000.0,trimmed
70.34,70.34,70.34,70.19,70.34,70.67,70.34,fr,60000.0,ft_trimmed
70.0,70.0,70.0,70.04,70.0,70.14,70.0,fr,60000.0,trimmed
73.1,73.1,73.1,73.16,73.1,73.33,73.1,fr,75000.0,ft_trimmed
71.72,71.72,71.72,71.78,71.72,72.62,71.72,fr,75000.0,trimmed
62.76,62.76,62.76,62.94,62.76,64.99,62.76,it,,ft
62.76,62.76,62.76,62.94,62.76,64.99,62.76,it,67802.0,trimmed
70.92,70.92,70.92,70.83,70.92,72.13,70.92,it,67802.0,ft_trimmed
62.41,62.41,62.41,62.08,62.41,65.85,62.41,it,15000.0,ft_trimmed
59.2,59.2,59.2,59.08,59.2,61.06,59.2,it,15000.0,trimmed
65.63,65.63,65.63,65.49,65.63,67.55,65.63,it,45000.0,ft_trimmed
57.82,57.82,57.82,57.7,57.82,59.95,57.82,it,45000.0,trimmed
64.48,64.48,64.48,64.32,64.48,66.26,64.48,it,30000.0,ft_trimmed
57.82,57.82,57.82,57.7,57.82,59.94,57.82,it,30000.0,trimmed
68.51,68.51,68.51,68.28,68.51,69.12,68.51,it,60000.0,ft_trimmed
62.64,62.64,62.64,62.83,62.64,64.88,62.64,it,60000.0,trimmed
70.69,70.69,70.69,70.73,70.69,70.78,70.69,pt,,ft
70.8,70.8,70.8,70.84,70.8,70.89,70.8,pt,66554.0,trimmed
71.84,71.84,71.84,71.83,71.84,71.82,71.84,pt,66554.0,ft_trimmed
65.4,65.4,65.4,65.43,65.4,65.54,65.4,pt,15000.0,ft_trimmed
65.98,65.98,65.98,66.17,65.98,67.51,65.98,pt,15000.0,trimmed
64.94,64.94,64.94,65.08,64.94,65.72,64.94,pt,45000.0,ft_trimmed
67.59,67.59,67.59,67.73,67.59,68.13,67.59,pt,45000.0,trimmed
65.98,65.98,65.98,65.96,65.98,66.54,65.98,pt,30000.0,ft_trimmed
67.7,67.7,67.7,67.84,67.7,68.25,67.7,pt,30000.0,trimmed
70.0,70.0,70.0,69.98,70.0,69.99,70.0,pt,60000.0,ft_trimmed
70.34,70.34,70.34,70.39,70.34,70.45,70.34,pt,60000.0,trimmed
